document_idx,topic,probability,date,macro_theme
148,-1,0.0,2021-11-24 11:07:00,Governance and Organizations
149,-1,0.0,2021-11-24 11:41:00,Legal and Regulatory Affairs
150,0,1.0,2021-11-24 12:14:00,Market and Financial Services
151,-1,0.0,2021-11-24 12:32:00,NFTs and Digital Collectibles
152,0,0.9037375071944908,2021-11-24 13:20:00,NFTs and Digital Collectibles
153,0,1.0,2021-11-24 14:10:00,Market and Financial Services
154,0,0.6655451579468825,2021-11-24 15:19:00,Technology and Innovation
155,0,1.0,2021-11-24 16:04:00,NFTs and Digital Collectibles
156,0,0.956610182514036,2021-11-25 08:42:00,NFTs and Digital Collectibles
157,0,1.0,2021-11-25 09:42:00,Technology and Innovation
158,0,1.0,2021-11-25 11:19:00,NFTs and Digital Collectibles
159,-1,0.0,2021-11-25 11:45:00,Technology and Innovation
160,0,1.0,2021-11-25 12:04:00,Market and Financial Services
161,0,1.0,2021-11-25 13:41:00,Technology and Innovation
162,0,1.0,2021-11-25 14:45:00,Technology and Innovation
163,0,1.0,2021-11-25 16:00:00,Market and Financial Services
164,0,1.0,2021-11-25 21:00:00,NFTs and Digital Collectibles
165,0,0.6505167779076974,2021-11-26 08:49:00,NFTs and Digital Collectibles
166,0,0.3136289222833725,2021-11-26 10:40:00,Market and Financial Services
167,-1,0.0,2021-11-26 10:42:00,Technology and Innovation
168,0,1.0,2021-11-26 11:41:00,Security and Fraud
169,0,1.0,2021-11-26 13:00:00,NFTs and Digital Collectibles
170,-1,0.0,2021-11-26 14:00:00,Security and Fraud
171,2,0.6544291592096786,2021-11-26 16:01:00,NFTs and Digital Collectibles
172,0,1.0,2021-11-26 22:02:00,Market and Financial Services
173,0,1.0,2021-11-29 10:30:00,Technology and Innovation
174,0,1.0,2021-11-29 12:14:00,Market and Financial Services
175,0,1.0,2021-11-29 12:24:00,Market and Financial Services
176,0,1.0,2021-11-29 14:32:00,Technology and Innovation
177,0,0.7190927865174267,2021-11-29 15:34:00,Market and Financial Services
178,0,1.0,2021-11-29 16:17:00,Technology and Innovation
179,0,1.0,2021-11-29 17:10:00,Technology and Innovation
180,0,0.9148776254068636,2021-11-29 19:00:00,NFTs and Digital Collectibles
181,-1,0.0,2021-11-29 21:00:00,NFTs and Digital Collectibles
182,-1,0.0,2021-11-30 01:00:00,Legal and Regulatory Affairs
183,0,1.0,2021-11-30 04:38:00,Technology and Innovation
184,0,1.0,2021-11-30 08:53:00,Legal and Regulatory Affairs
185,-1,0.0,2021-11-30 10:49:00,Technology and Innovation
186,-1,0.0,2021-11-30 11:17:00,Technology and Innovation
187,0,1.0,2021-11-30 12:05:00,Technology and Innovation
188,-1,0.0,2021-11-30 12:45:00,NFTs and Digital Collectibles
189,0,1.0,2021-11-30 14:59:00,Technology and Innovation
190,0,1.0,2021-11-30 15:22:00,Security and Fraud
191,0,1.0,2021-11-30 16:21:00,Technology and Innovation
192,0,0.5148941212731664,2021-11-30 21:00:00,Market and Financial Services
193,0,0.6093033834131997,2021-12-01 17:36:00,Market and Financial Services
194,6,1.0,2021-12-02 09:35:00,Security and Fraud
195,0,0.985826400322687,2021-12-03 10:27:00,NFTs and Digital Collectibles
196,0,1.0,2021-12-03 13:00:00,NFTs and Digital Collectibles
197,0,0.7011283918351996,2021-12-06 14:12:00,Technology and Innovation
198,0,0.8052670009690983,2021-12-06 15:30:00,NFTs and Digital Collectibles
199,0,1.0,2021-12-07 11:31:00,NFTs and Digital Collectibles
200,0,0.6374593190980062,2021-12-08 11:18:00,Governance and Organizations
201,0,1.0,2021-12-08 12:19:00,NFTs and Digital Collectibles
202,-1,0.0,2021-12-08 16:00:00,Legal and Regulatory Affairs
203,0,1.0,2021-12-08 16:55:00,Technology and Innovation
204,0,0.5098957822137438,2021-12-09 09:04:00,Market and Financial Services
205,-1,0.0,2021-12-09 10:57:00,Technology and Innovation
206,0,1.0,2021-12-09 11:40:00,Governance and Organizations
207,0,1.0,2021-12-09 12:08:00,Market and Financial Services
208,0,1.0,2021-12-09 13:29:00,Market and Financial Services
209,0,1.0,2021-12-09 14:13:00,Technology and Innovation
210,-1,0.0,2021-12-09 14:58:00,Market and Financial Services
211,0,0.4595549854670949,2021-12-09 17:34:00,Technology and Innovation
212,0,1.0,2021-12-09 18:16:00,Technology and Innovation
213,-1,0.0,2021-12-09 21:00:00,Market and Financial Services
214,0,0.4730684951866959,2021-12-10 10:47:00,NFTs and Digital Collectibles
215,0,1.0,2021-12-10 12:01:00,Technology and Innovation
